rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
330,large_file,4195,74,rare,17,8895,14736,37.641233972324486
331,large_file,4204,83,rare,17,8912,14719,37.713173373957936
332,large_file,4249,87,rare,17,8929,14702,37.78511277559139
333,large_file,4269,91,rare,17,8946,14685,37.85705217722483
334,large_file,4467,86,rare,17,8963,14668,37.92899157885828
335,large_file,6160,79,rare,17,8980,14651,38.000930980491724
336,large_file,8819,124,rare,17,8997,14634,38.072870382125174
337,large_file,8954,110,rare,17,9014,14617,38.144809783758625
338,large_file,9135,115,rare,17,9031,14600,38.21674918539207
339,large_file,9591,82,rare,17,9048,14583,38.28868858702552
340,large_file,11233,95,rare,17,9065,14566,38.36062798865896
341,large_file,11294,94,rare,17,9082,14549,38.43256739029241
342,large_file,12450,95,rare,17,9099,14532,38.50450679192586
343,large_file,15205,83,rare,17,9116,14515,38.576446193559306
344,large_file,15224,79,rare,17,9133,14498,38.64838559519276
345,large_file,15226,77,rare,17,9150,14481,38.7203249968262
346,large_file,15257,79,rare,17,9167,14464,38.79226439845965
347,large_file,15274,78,rare,17,9184,14447,38.8642038000931
348,large_file,15276,70,rare,17,9201,14430,38.936143201726544
349,large_file,15319,74,rare,17,9218,14413,39.008082603359995
350,large_file,15320,72,rare,17,9235,14396,39.08002200499344
351,large_file,15380,77,rare,17,9252,14379,39.15196140662689
352,large_file,15402,79,rare,17,9269,14362,39.22390080826034
353,large_file,15432,78,rare,17,9286,14345,39.29584020989378
354,large_file,15653,76,rare,17,9303,14328,39.36777961152723
355,large_file,16030,77,rare,17,9320,14311,39.439719013160676
356,large_file,3991,83,rare,17,9337,14294,39.51165841479413
357,large_file,4020,85,rare,17,9354,14277,39.58359781642758
358,large_file,4043,84,rare,17,9371,14260,39.65553721806102
359,large_file,4134,86,rare,16,9387,14244,39.72324489018662
360,large_file,4316,84,rare,16,9403,14228,39.790952562312214
361,large_file,4318,84,rare,16,9419,14212,39.858660234437814
362,large_file,4418,83,rare,16,9435,14196,39.926367906563414
363,large_file,4426,86,rare,16,9451,14180,39.994075578689014
364,large_file,4575,87,rare,16,9467,14164,40.06178325081461
365,large_file,4664,85,rare,16,9483,14148,40.12949092294021
366,large_file,8758,109,rare,16,9499,14132,40.19719859506581
367,large_file,9010,104,rare,16,9515,14116,40.2649062671914
368,large_file,9041,111,rare,16,9531,14100,40.332613939317
369,large_file,9061,115,rare,16,9547,14084,40.4003216114426
