rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
212,large_file,1655,83,rare,14,5212,7291,41.685995361113335
213,large_file,4687,81,rare,14,5226,7277,41.79796848756298
214,large_file,4770,85,rare,14,5240,7263,41.90994161401264
215,large_file,5028,84,rare,14,5254,7249,42.021914740462286
216,large_file,6287,118,rare,14,5268,7235,42.13388786691194
217,large_file,6849,108,rare,14,5282,7221,42.245860993361596
218,large_file,7290,89,rare,14,5296,7207,42.357834119811244
219,large_file,7972,88,rare,14,5310,7193,42.4698072462609
220,large_file,8150,109,rare,14,5324,7179,42.58178037271055
221,large_file,8382,83,rare,14,5338,7165,42.6937534991602
222,large_file,10759,125,rare,14,5352,7151,42.80572662560985
223,large_file,11256,91,rare,14,5366,7137,42.917699752059505
224,large_file,12105,69,rare,14,5380,7123,43.02967287850916
225,large_file,13622,90,rare,14,5394,7109,43.14164600495881
226,large_file,13629,80,rare,14,5408,7095,43.25361913140846
227,large_file,13663,77,rare,14,5422,7081,43.36559225785811
228,large_file,15078,120,rare,14,5436,7067,43.477565384307766
229,large_file,17629,74,rare,14,5450,7053,43.58953851075742
230,large_file,18704,90,rare,14,5464,7039,43.70151163720707
231,large_file,18810,90,rare,14,5478,7025,43.813484763656724
232,large_file,19615,88,rare,14,5492,7011,43.92545789010637
233,large_file,19712,82,rare,14,5506,6997,44.03743101655603
234,large_file,1064,83,rare,13,5519,6984,44.14140606254499
235,large_file,1066,79,rare,13,5532,6971,44.245381108533955
236,large_file,1528,89,rare,13,5545,6958,44.349356154522916
237,large_file,1684,67,rare,13,5558,6945,44.453331200511876
238,large_file,1842,87,rare,13,5571,6932,44.557306246500836
239,large_file,2132,77,rare,13,5584,6919,44.661281292489804
240,large_file,2473,88,rare,13,5597,6906,44.765256338478764
241,large_file,3251,86,rare,13,5610,6893,44.869231384467724
242,large_file,3656,89,rare,13,5623,6880,44.97320643045669
243,large_file,4501,70,rare,13,5636,6867,45.07718147644565
244,large_file,4950,70,rare,13,5649,6854,45.18115652243461
245,large_file,5046,91,rare,13,5662,6841,45.28513156842358
246,large_file,6998,119,rare,13,5675,6828,45.38910661441254
