index,name,n_atoms,DFT_energy_pa,M3G_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
166,structure_1148.xyz,59,-8.383693906101694,-8.420168084613348,-0.03647417851165358,0.03647417851165358,0.15041851158157493,0.1856544017045861,0.5003109574317932,0.007911221518043021,0.009284126535489632,0.00933074252861843,0.010579063411346663,-0.002421620301902294,-0.011569259921088815,-0.01400134736286418,-0.010553274303674698,0.008349948591785505,0.0005718786269426346
167,structure_1149.xyz,59,-8.371423350847458,-8.410984879833157,-0.03956152898569876,0.03956152898569876,0.17723158428361271,0.21720640269815433,0.5869412422180176,0.007665008655749261,0.009945943575312666,0.012268035827825466,0.013561546276745716,-0.004262985195964575,-0.014836816117167473,-0.017704306170344353,0.00023672403767704964,-0.005392171675339341,0.003557048738002777
168,structure_115.xyz,55,-8.550982603454546,-8.546875554865057,0.004107048589489182,0.004107048589489182,0.14771672157344945,0.18099472248702617,0.581622026860714,0.004998302038681383,0.00627976368805525,0.0033719281976421676,0.005162907826484444,-0.0001401389017701149,-0.0011025648564100266,-0.00887308083474636,0.0034491431433707476,-0.010432885494083166,0.005991999001707882
169,structure_1150.xyz,59,-8.371518693220338,-8.411223847987289,-0.03970515476695091,0.03970515476695091,0.1755097884379622,0.2216269357633364,0.6894890069961548,0.008218805111634234,0.010106476664045782,0.010995435528457165,0.013171652206048363,-0.000757935456931591,-0.01558087207376957,-0.016647499054670334,0.006672361399978399,0.00403773901052773,-0.005616423673927784
170,structure_1151.xyz,59,-8.386702820847457,-8.425222623146187,-0.038519802298729644,0.038519802298729644,0.16136927262644446,0.19618461349112062,0.5716595649719238,0.008488909263784686,0.011417305476444938,0.012608522161220511,0.015098019366651495,-0.001897692447528243,-0.013790014199912548,-0.02213785983622074,0.009547838009893894,0.001155354781076312,-0.0024046963080763817
171,structure_1152.xyz,59,-8.377401446779661,-8.415970107256356,-0.03856866047669527,0.03856866047669527,0.17499015460285428,0.21783800460575298,0.6675355434417725,0.0077539611763010425,0.010555438061263921,0.011894303296382228,0.014214424150070851,-0.0026948258746415377,-0.011260466184467077,-0.02172761783003807,0.007359591778367758,-0.0027728339191526175,0.0007084314711391926
172,structure_1153.xyz,59,-8.374752060847458,-8.411435919292902,-0.03668385844544453,0.03668385844544453,0.17112174311798792,0.2150595583969806,0.63288414478302,0.008063763612881303,0.010212059367468686,0.011105319950729609,0.012976293737015554,-0.0034597706981003284,-0.01005538646131754,-0.019800802692770958,0.009415081236511469,-0.005649830447509885,-1.7101410776376724e-06
173,structure_1154.xyz,59,-8.386816752881355,-8.420893782276218,-0.034077029394863345,0.034077029394863345,0.16410259070074829,0.20722177302897823,0.6428575217723846,0.007753235811833292,0.009884575179876898,0.011727802106179297,0.013419097038255981,0.003608515951782465,-0.01199876086320728,-0.019576129503548145,-0.0027313469909131527,0.005177575396373868,0.003427086165174842
174,structure_1155.xyz,59,-8.39442187457627,-8.426766605700477,-0.03234473112420666,0.03234473112420666,0.18798092651867576,0.23318654174573467,0.6489248722791672,0.010719370029012984,0.01361064416267636,0.016267140260121476,0.018029862653043738,-0.0055093877599574625,-0.01967441476881504,-0.02361761825159192,-0.0003805365413427353,-0.010853634215891361,0.004280628636479378
175,structure_1156.xyz,59,-8.385104862033899,-8.423614501953125,-0.0385096399192264,0.0385096399192264,0.17127263790264852,0.2203728111152083,0.6008609533309937,0.009405972169285329,0.011758286787941028,0.011907718658524876,0.014388962258841764,-0.0005206111818552017,-0.01681194081902504,-0.018390603974694386,0.011236261809244752,-0.0004218235844746232,-0.009054591646417975
176,structure_1157.xyz,59,-8.382254676440677,-8.41939583471266,-0.03714115827198228,0.03714115827198228,0.17753659111268735,0.22234865898918058,0.7715543508529663,0.007828086865629302,0.010577620113990247,0.011898054700092567,0.014420843174994341,0.0004411740228533745,-0.016553913010284305,-0.018699077067140024,0.004487474099732935,0.0019329936476424336,-0.004853889346122742
177,structure_1158.xyz,59,-8.386564435254238,-8.42523710606462,-0.038672670810381504,0.038672670810381504,0.17993570309221787,0.2239755132263381,0.9284981489181519,0.008701673063721197,0.01141562844542273,0.01273997220171926,0.015363022458779605,-0.0007640859112143517,-0.01699385602842085,-0.020461974665522575,-0.0026643492747098207,0.006802346906624734,-0.004523425595834851
178,structure_1159.xyz,53,-8.561373353396228,-8.563237604105248,-0.0018642507090209648,0.0018642507090209648,0.11677355171948578,0.14757426663548376,0.47685979306697845,0.004353172795769448,0.004956377967795547,0.006213770325606068,0.006414052755624101,-0.004295828752219677,-0.008190002990886569,-0.006155479233711958,0.0014552243519574404,-0.004375240707304329,0.0016472607385367155
179,structure_116.xyz,55,-8.549927770545453,-8.545103870738636,0.004823899806817522,0.004823899806817522,0.1579615703332379,0.19197613295692378,0.6020309291779995,0.0032002706720959395,0.0040286074902618,0.0025410138381024203,0.00335364243034495,0.00010453257709741592,0.00210610032081604,-0.0054124086163938046,0.0019223073031753302,-0.007408857112750411,0.0022474181023426354
180,structure_1160.xyz,59,-8.369566921864406,-8.406638969809322,-0.03707204794491581,0.03707204794491581,0.1706813897853349,0.2090640462694911,0.5450983047485352,0.008436007075943053,0.009242889665880463,0.010478568418572346,0.01117539148596719,-0.007375651504844427,-0.008104164153337479,-0.015955889597535133,-0.0032130570616573095,0.007741587935015559,-0.008225692203268409
